Branch,Number,Merged,Author,Title,Report,Beta,Release,SHA,URL,Comment
"main","10292","2026-01-05","app/dependabot","chore(deps): bump github/codeql-action from 4.31.8 to 4.31.9","Review","-","THUNDERBIRD_17_0b1","THUNDERBIRD_17_0","0306ef6369d42ca8f9f75c2a2ff7597e3ec27a0d","https://github.com/thunderbird/thunderbird-android/pull/10292",""
"main","10294","2026-01-05","app/dependabot","chore(deps): bump com.google.devtools.ksp from 2.3.3 to 2.3.4","Review","-","THUNDERBIRD_17_0b1","THUNDERBIRD_17_0","a6b3247ea64dfe9e3e1056c428080e12759a2011","https://github.com/thunderbird/thunderbird-android/pull/10294",""
"main","10316","2026-01-05","AaronDewes","fix: harden dependabot-dependency-guard-update.yml","Review","-","THUNDERBIRD_17_0b1","THUNDERBIRD_17_0","1cf35392d0a8e0d7a5149fd9b92366ebfcb922e9","https://github.com/thunderbird/thunderbird-android/pull/10316",""
"main","10293","2026-01-05","app/dependabot","chore(deps): bump kotlinBom from 2.2.0 to 2.3.0","Review","-","THUNDERBIRD_17_0b1","THUNDERBIRD_17_0","7ac9f0cfaf9dac4fa57284ace50fbe380e178626","https://github.com/thunderbird/thunderbird-android/pull/10293",""
"main","10297","2026-01-05","app/dependabot","chore(deps): bump dev.forkhandles:forkhandles-bom from 2.24.0.0 to 2.25.0.0","Review","-","THUNDERBIRD_17_0b1","THUNDERBIRD_17_0","7637a50690eca66960f8cd7e35d9488a8ba07b7e","https://github.com/thunderbird/thunderbird-android/pull/10297",""
"main","10295","2026-01-05","app/dependabot","chore(deps): bump com.github.skydoves:landscapist-coil3 from 2.6.1 to 2.6.2","Review","-","THUNDERBIRD_17_0b1","THUNDERBIRD_17_0","07c7d3e423edc3605479d6382f563ab0a74a490c","https://github.com/thunderbird/thunderbird-android/pull/10295",""
"main","10318","2026-01-05","rafaeltonholo","fix(testing): Disable C2 compiler for Robolectric tests","Review","-","THUNDERBIRD_17_0b1","THUNDERBIRD_17_0","d59c19bdde4e76244cbfd3f8516546ac89bfb124","https://github.com/thunderbird/thunderbird-android/pull/10318",""
"main","10276","2026-01-06","wmontwe","chore(platform): change min sdk to 23","Review","-","THUNDERBIRD_17_0b1","THUNDERBIRD_17_0","dde40a637b82e333d2c43fe2f027a6b26580deb6","https://github.com/thunderbird/thunderbird-android/pull/10276",""
"main","10283","2026-01-06","wmontwe","refactor: cleanup lint issues","Review","-","THUNDERBIRD_17_0b1","THUNDERBIRD_17_0","c8a4f451d4511104666ed41b31ce2fdedf2c44c2","https://github.com/thunderbird/thunderbird-android/pull/10283",""
"main","10296","2026-01-06","app/dependabot","chore(deps): bump org.apache.httpcomponents.client5:httpclient5 from 5.5.1 to 5.6","Review","-","THUNDERBIRD_17_0b1","THUNDERBIRD_17_0","21532b215cef9c8070f5ca21c5ceedbcfc5a87bd","https://github.com/thunderbird/thunderbird-android/pull/10296",""
