Branch,Number,Merged,Author,Title,Report,Beta,Release,SHA,URL,Comment
"main","11345","2026-08-04","rafaeltonholo","feat(feature-flag): add declarative feature flag catalog and schema","Exclude","-","THUNDERBIRD_23_0b1","Not released yet","670d2d2b78a50eaf8e8b9a2d94903749e09f8b60","https://github.com/thunderbird/thunderbird-android/pull/11345",""
"main","11354","2026-08-04","app/dependabot","chore(deps): bump ch.qos.logback:logback-classic from 1.5.38 to 1.6.1","Exclude","-","THUNDERBIRD_23_0b1","Not released yet","4f5ff1d759ba8c682fa7e3377fa7df7d8d5388e6","https://github.com/thunderbird/thunderbird-android/pull/11354",""
"main","11355","2026-08-04","app/dependabot","chore(deps): bump com.squareup.okio:okio from 3.17.0 to 3.18.0","Exclude","-","THUNDERBIRD_23_0b1","Not released yet","4a938f47f90731a807fc1471f7f15fe6a1b0ced7","https://github.com/thunderbird/thunderbird-android/pull/11355",""
"main","11356","2026-08-04","app/dependabot","chore(deps): bump com.github.ben-manes.versions from 0.54.0 to 0.58.0","Exclude","-","THUNDERBIRD_23_0b1","Not released yet","da9b961d727787ab7a03d17f1c2c083a125d1387","https://github.com/thunderbird/thunderbird-android/pull/11356",""
"main","11350","2026-08-05","shamim-emon","fix: enable multi-line input for Composition Defaults signature field","Include","-","THUNDERBIRD_23_0b1","Not released yet","b4d4fddf2c2c3cb0546852d699532e3845de3f78","https://github.com/thunderbird/thunderbird-android/pull/11350",""
"main","11360","2026-08-05","app/github-actions","chore(i18n): translations update from Weblate","Include","-","THUNDERBIRD_23_0b1","Not released yet","1cd004055829a6bfc1395a1e95fe5fc1b60a47cc","https://github.com/thunderbird/thunderbird-android/pull/11360",""
"main","11367","2026-08-05","rafaeltonholo","fix(weblate): add missing 'many' quantity forms for Hebrew strings","Exclude","-","THUNDERBIRD_23_0b1","Not released yet","adb64adc5b0cc0216c39ff03c62cdc47fc73dda0","https://github.com/thunderbird/thunderbird-android/pull/11367",""
"main","11353","2026-08-05","app/dependabot","chore(deps): bump com.diffplug.spotless from 8.8.0 to 8.9.0","Exclude","-","THUNDERBIRD_23_0b1","Not released yet","cc7fa3925e32816c17eca6bc22f9f345f4920089","https://github.com/thunderbird/thunderbird-android/pull/11353",""
"main","11358","2026-08-06","shamim-emon","feat(changelog): add versionCode support to changelog JSON generation scripts","Include","-","THUNDERBIRD_23_0b1","Not released yet","804c7e14891a4a04caec3ea37049517cb363b9af","https://github.com/thunderbird/thunderbird-android/pull/11358",""
"main","11374","2026-08-06","kryoseu","versionName bump to 24.0","Review","-","Not released yet","-","9ecf8d4634f8b4ccfd182f68787fcbf9f7b73990","https://github.com/thunderbird/thunderbird-android/pull/11374",""
"main","10967","2026-08-10","mohitsatr","Fix: Save all option overrides attachment files","Include","-","Not released yet","-","6d1b1152cadf2e33c4f2d21725e0564e70efe0ba","https://github.com/thunderbird/thunderbird-android/pull/10967",""
"main","11248","2026-08-10","mvanhorn","fix: show feedback when a scanned QR code contains unsupported data","Include","-","Not released yet","-","f60511cb9e554f82056c36231697ea61e4c4b64d","https://github.com/thunderbird/thunderbird-android/pull/11248",""
"main","11385","2026-08-10","rafaeltonholo","chore(qrcode): update Log import to use legacy package","Exclude","-","Not released yet","-","50b5b018c5880a7bc7e0700928f5f7e997d81f32","https://github.com/thunderbird/thunderbird-android/pull/11385",""
"main","11281","2026-08-10","app/dependabot","chore(deps): bump actions/setup-java from 5.5.0 to 5.6.0 in /.github/actions/setup-gradle in the actions-deps group across 1 directory","Exclude","-","Not released yet","-","803ddcae4d26d735d62a864205549929f836684e","https://github.com/thunderbird/thunderbird-android/pull/11281",""
"main","11346","2026-08-10","rafaeltonholo","feat(feature-flag): add FeatureFlagPlugin with JSON schema validator","Exclude","-","Not released yet","-","dd268551716c3a6fd82f1d7b4db9c44625b3ec37","https://github.com/thunderbird/thunderbird-android/pull/11346",""
"main","11359","2026-08-11","rafaeltonholo","feat(feature-flag): add generated enum-based feature flag key","Exclude","-","Not released yet","-","9487bb0c8a3061179e6321800defad0db138bc96","https://github.com/thunderbird/thunderbird-android/pull/11359",""
"main","11389","2026-08-12","rafaeltonholo","fix(i18n): weblate conflict sync","Exclude","-","Not released yet","-","03e48b4937bdce97ca05a4b4bc246fac54d39fe4","https://github.com/thunderbird/thunderbird-android/pull/11389",""
"main","11364","2026-08-12","rafaeltonholo","feat(feature-flag): bundle catalog as Android raw resource and JVM classpath resource","Exclude","-","Not released yet","-","8cd7fd7d5e4210bc3c1e9d0ae0f259839e0f9d19","https://github.com/thunderbird/thunderbird-android/pull/11364",""
"main","11390","2026-08-12","app/dependabot","chore(deps): bump ktor from 3.5.1 to 3.5.2","Exclude","-","Not released yet","-","01fbe7a2ab13e3b43081ddccd8d4c19748214e6b","https://github.com/thunderbird/thunderbird-android/pull/11390",""
